Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kareem Abdul-Jabbar*,C,31,LAL,80,,39.5,9.7,16.8,0.577,,,,9.7,16.8,0.577,0.577,4.4,5.9,0.736,2.6,10.2,12.8,5.4,1,4,3.5,2.9,23.8
2,Tom Abernethy,PF,24,GSW,70,,17.4,2.5,4.9,0.515,,,,2.5,4.9,0.515,0.515,1,1.3,0.745,1.1,2,3.1,1.1,0.6,0.2,0.5,1.9,6
3,Alvan Adams,C,24,PHO,77,,30.7,7.4,13.9,0.53,,,,7.4,13.9,0.53,0.53,3,3.8,0.799,2.9,6.3,9.2,4.7,1.4,0.8,3.6,3.2,17.8
4,Lucius Allen,PG,31,KCK,31,,13.3,2.2,5.6,0.397,,,,2.2,5.6,0.397,0.397,0.6,1.1,0.576,0.5,1,1.5,1.4,0.7,0.2,1,1.7,5.1
5,Kim Anderson,SF,23,POR,21,,10.7,1.1,3.7,0.312,,,,1.1,3.7,0.312,0.312,0.7,1.3,0.536,0.8,1.3,2.1,0.7,0.2,0.2,1,2,3
6,Tiny Archibald*,PG,30,BOS,69,,24.1,3.8,8.3,0.452,,,,3.8,8.3,0.452,0.452,3.5,4.4,0.788,0.4,1.1,1.5,4.7,0.8,0.1,2.9,1.9,11
7,Tate Armstrong,SG,23,CHI,26,,10,1.1,2.7,0.4,,,,1.1,2.7,0.4,0.4,0.4,0.5,0.769,0.3,0.5,0.8,1.2,0.4,0,0.8,0.8,2.5
8,Dennis Awtrey,C,30,TOT,63,,11.8,0.7,1.7,0.411,,,,0.7,1.7,0.411,0.411,0.7,0.9,0.732,0.7,1.7,2.4,1.1,0.3,0.2,0.8,1.7,2
8,Dennis Awtrey,C,30,BOS,23,,10.7,0.7,1.9,0.386,,,,0.7,1.9,0.386,0.386,0.7,0.9,0.8,0.6,1.5,2,0.9,0.1,0.3,0.9,1.6,2.2
8,Dennis Awtrey,C,30,SEA,40,,12.5,0.7,1.6,0.429,,,,0.7,1.6,0.429,0.429,0.6,0.9,0.694,0.7,1.9,2.6,1.2,0.3,0.2,0.8,1.7,2
