Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Larry Bird*,SF,28,BOS,80,77,39.5,11.5,22,0.522,0.7,1.6,0.427,10.8,20.4,0.529,0.538,5,5.7,0.882,2.1,8.5,10.5,6.6,1.6,1.2,3.1,2.6,28.7
2,Purvis Short,SF,27,GSW,78,77,39.5,10.5,22.8,0.46,0.6,1.9,0.313,9.9,20.9,0.474,0.473,6.4,7.9,0.817,2,3.1,5.1,3,1.5,0.3,3.1,3.3,28
3,Buck Williams,PF,24,NJN,82,82,38.8,7,13.3,0.53,0,0,0.25,7,13.2,0.531,0.53,4.1,6.6,0.625,3.9,8.3,12.3,2,0.8,1.3,2.9,3.6,18.2
4,Michael Jordan*,SG,21,CHI,82,82,38.3,10.2,19.8,0.515,0.1,0.6,0.173,10.1,19.2,0.526,0.518,7.7,9.1,0.845,2,4.5,6.5,5.9,2.4,0.8,3.5,3.5,28.2
5,Micheal Ray Richardson,PG,29,NJN,82,82,38.1,8.4,17.9,0.469,0.4,1.4,0.252,8.1,16.5,0.488,0.479,2.9,3.8,0.767,1.9,3.7,5.6,8.2,3,0.3,3,3.4,20.1
6,Isiah Thomas*,PG,23,DET,81,81,38.1,8,17.4,0.458,0.4,1.4,0.257,7.6,16,0.476,0.468,4.9,6.1,0.809,1.4,3,4.5,13.9,2.3,0.3,3.7,3.6,21.2
7,Ralph Sampson*,PF,24,HOU,82,82,37.6,9.2,18.3,0.502,0,0.1,0,9.2,18.2,0.504,0.502,3.7,5.5,0.676,2.8,7.6,10.4,2.7,1,2,4,3.7,22.1
8,Bernard King*,SF,28,NYK,55,55,37.5,12.6,23.7,0.53,0,0.2,0.1,12.5,23.5,0.534,0.531,7.7,10,0.772,2.1,3.7,5.8,3.7,1.3,0.3,3.7,3.5,32.9
9,Sidney Moncrief*,PG,27,MIL,73,72,37.5,7.7,15.9,0.483,0.1,0.5,0.273,7.6,15.5,0.489,0.487,6.2,7.5,0.828,2,3.3,5.4,5.2,1.6,0.5,2.5,2.7,21.7
10,Gus Williams,PG,31,WSB,79,78,37.5,8.1,18.8,0.43,0.6,2.2,0.29,7.4,16.5,0.449,0.447,3.2,4.4,0.725,0.9,1.6,2.5,7.7,2.3,0.4,2.7,2,20
11,Moses Malone*,C,29,PHI,79,79,37.4,7.6,16.3,0.469,0,0,0,7.6,16.2,0.47,0.469,9.3,11.4,0.815,4.9,8.2,13.1,1.6,0.8,1.6,3.6,2.7,24.6
12,Dominique Wilkins*,SF,25,ATL,81,81,37.3,10.5,23.3,0.451,0.3,1,0.309,10.2,22.3,0.457,0.458,6,7.4,0.806,2.8,4.1,6.9,2.5,1.7,0.7,2.8,2.1,27.4
13,Dennis Johnson*,PG,30,BOS,80,77,37.2,6.2,13.3,0.462,0.1,0.3,0.269,6.1,13,0.467,0.466,3.3,3.8,0.853,1.1,2.8,4,6.8,1.2,0.5,2.7,2.8,15.7
14,Eddie Johnson,SF,25,KCK,82,81,36.9,9.4,19.1,0.491,0.2,0.7,0.241,9.2,18.4,0.5,0.496,4,4.5,0.871,1.8,3.1,5,3.3,1,0.3,2.7,2.9,22.9
15,Rodney McCray,SF,23,HOU,82,82,36.6,5.8,10.9,0.535,0,0.1,0,5.8,10.8,0.538,0.535,2.8,3.8,0.738,2.5,4.1,6.6,4.3,1.1,0.9,2.2,2.6,14.4
16,Orlando Woolridge,SF,25,CHI,77,76,36.6,8.8,15.9,0.554,0,0.1,0,8.8,15.8,0.557,0.554,5.3,6.8,0.785,2.1,3.6,5.6,1.8,0.8,0.5,2.3,2.4,22.9
17,Tom Chambers,PF,25,SEA,81,60,36.1,7.8,16.1,0.483,0.1,0.3,0.273,7.7,15.8,0.487,0.485,5.9,7,0.832,2,5.1,7.1,2.6,0.9,0.7,3.2,3.9,21.5
