Season,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2020-21,Philadelphia 76ers*,49,23,0.681,—,113.6,108.1,5.28
2020-21,Brooklyn Nets*,48,24,0.667,1,118.6,114.1,4.24
2020-21,Milwaukee Bucks*,46,26,0.639,3,120.1,114.2,5.57
2020-21,New York Knicks*,41,31,0.569,8,107,104.7,2.13
2020-21,Atlanta Hawks*,41,31,0.569,8,113.7,111.4,2.14
2020-21,Miami Heat*,40,32,0.556,9,108.1,108,-0.06
2020-21,Boston Celtics*,36,36,0.5,13,112.6,111.2,1.32
2020-21,Washington Wizards*,34,38,0.472,15,116.6,118.5,-1.85
2020-21,Indiana Pacers,34,38,0.472,15,115.3,115.3,-0.13
2020-21,Charlotte Hornets,33,39,0.458,16,109.5,111.4,-1.94
2020-21,Chicago Bulls,31,41,0.431,18,110.7,111.6,-0.94
2020-21,Toronto Raptors,27,45,0.375,22,111.3,111.7,-0.54
2020-21,Cleveland Cavaliers,22,50,0.306,27,103.8,112.3,-8.19
2020-21,Orlando Magic,21,51,0.292,28,104,113.3,-9.02
2020-21,Detroit Pistons,20,52,0.278,29,106.6,111.1,-4.3
