Season,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2021-22,Phoenix Suns*,64,18,0.78,—,114.8,107.3,6.94
2021-22,Memphis Grizzlies*,56,26,0.683,8,115.6,109.9,5.37
2021-22,Golden State Warriors*,53,29,0.646,11,111,105.5,5.52
2021-22,Dallas Mavericks*,52,30,0.634,12,108,104.7,3.12
2021-22,Utah Jazz*,49,33,0.598,15,113.6,107.6,5.67
2021-22,Denver Nuggets*,48,34,0.585,16,112.7,110.4,2.16
2021-22,Minnesota Timberwolves*,46,36,0.561,18,115.9,113.3,2.53
2021-22,Los Angeles Clippers,42,40,0.512,22,108.4,108.4,0.09
2021-22,New Orleans Pelicans*,36,46,0.439,28,109.3,110.3,-0.84
2021-22,San Antonio Spurs,34,48,0.415,30,113.2,113,0.02
2021-22,Los Angeles Lakers,33,49,0.402,31,112.1,115.1,-3.08
2021-22,Sacramento Kings,30,52,0.366,34,110.3,115.8,-5.26
2021-22,Portland Trail Blazers,27,55,0.329,37,106.2,115.1,-8.55
2021-22,Oklahoma City Thunder,24,58,0.293,40,103.7,111.8,-7.9
2021-22,Houston Rockets,20,62,0.244,44,109.7,118.2,-8.26
