Rk,Player,Pos,Age,Tm,G?,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Deni Avdija,SF,21,WAS,81,1953,11.6,0.537,0.448,0.238,2.9,20.6,11.9,11.7,1.5,1.9,12.1,16.2,,0.6,1.8,2.4,0.059,,-2.1,0.4,-1.7,0.1
2,Saddiq Bey,SF,22,DET,81,2691,14.1,0.531,0.539,0.223,4.1,14,8.8,13.7,1.3,0.5,7.2,21.3,,2.4,1.6,4,0.072,,1,-1.2,-0.3,1.2
3,Mikal Bridges,SF,25,PHO,81,2848,14.5,0.628,0.363,0.183,2.9,9.9,6.5,8.6,1.6,1.1,6.8,15,,5.2,3.7,9,0.151,,0.5,1.1,1.6,2.6
4,Kevon Looney,C,25,GSW,81,1717,15.8,0.585,0.003,0.346,13.6,23.6,18.7,13.1,1.4,2.9,13.9,12.3,,3.5,3.2,6.7,0.187,,-0.9,1.7,0.8,1.2
5,Dwight Powell,C,30,DAL,81,1773,18.1,0.726,0.094,0.522,10.6,14.2,12.4,8.1,1.1,1.9,11.2,13.9,,6,2.2,8.2,0.221,,0.4,0.5,1,1.3
6,Alec Burks,SG,30,NYK,80,2278,13.8,0.558,0.534,0.366,2.1,16.7,9.2,15.4,1.8,1.1,9.4,17.8,,3.2,2.8,6,0.126,,-0.4,1.2,0.8,1.6
7,Buddy Hield,SG,29,TOT,80,2463,12.9,0.55,0.653,0.118,2.9,12.8,7.8,13.6,1.4,0.9,11.8,22.3,,0.8,1,1.9,0.037,,0.5,-1.8,-1.2,0.5
8,Terance Mann,SF,25,LAC,80,2292,13.3,0.571,0.302,0.239,4.9,14.2,9.7,13.2,1.2,0.7,9.9,16.1,,3,2.3,5.3,0.111,,-0.9,0.1,-0.7,0.7
9,Patty Mills,PG,33,BRK,80,2315,10.5,0.562,0.714,0.075,0.9,6.2,3.6,10.7,1.1,0.7,7.9,16.4,,1.9,0.9,2.9,0.059,,-0.2,-1.4,-1.6,0.2
10,Chris Boucher,PF,29,TOR,79,1658,17.8,0.568,0.394,0.33,11,21.4,15.9,1.9,1.5,4.4,6.1,17.7,,3.4,2.4,5.8,0.168,,0.4,-0.4,-0.1,0.8
11,Miles Bridges,PF,23,CHO,79,2809,18,0.595,0.384,0.275,3.3,17.8,10.4,15.7,1.3,2.2,10,22.7,,5,2.2,7.2,0.123,,1.9,-0.4,1.5,2.5
12,Dorian Finney-Smith,PF,28,DAL,79,2616,12.4,0.599,0.628,0.121,5.2,10.6,7.9,8.2,1.7,1.4,10,13.8,,3.2,3.2,6.5,0.119,,0,0.7,0.7,1.8
13,Evan Fournier,SG,29,NYK,79,2326,12.4,0.557,0.639,0.118,1.5,8.2,4.8,11.7,1.7,0.8,9.5,20.9,,1.6,2.1,3.6,0.075,,-0.3,-0.4,-0.7,0.7
14,Franz Wagner,SF,20,ORL,79,2429,14.7,0.559,0.278,0.225,3.6,11.9,7.7,15.7,1.4,1.3,10,21.2,,2.1,1.9,4,0.079,,-0.4,-0.3,-0.8,0.8
15,Malik Beasley,SG,25,MIN,78,1960,11.9,0.545,0.75,0.071,1.4,11.2,6.2,8.5,1,0.6,4.7,19.4,,1.7,1.2,2.9,0.071,,0.8,-1.4,-0.7,0.7
16,Jalen Brunson,PG,25,DAL,78,2499,17,0.582,0.246,0.212,1.9,11.6,6.7,24.2,1.3,0.1,10.2,21.8,,4.8,2.7,7.4,0.143,,0.8,0,0.8,1.8
17,Jordan Clarkson,SG,29,UTA,78,2112,15,0.534,0.535,0.158,3.4,9.9,6.8,14.4,1.5,0.7,9.7,26.9,,1.6,1.8,3.4,0.078,,0.6,-1.3,-0.7,0.7
18,Jaren Jackson Jr.,PF,22,MEM,78,2126,17.1,0.535,0.387,0.333,5.8,16.9,11.2,5.8,1.6,7.4,9.9,25.4,,1.7,3.8,5.5,0.123,,-0.9,0.8,-0.1,1
19,Herbert Jones,PF,23,NOP,78,2335,12.3,0.573,0.293,0.283,4.6,9.6,7,10,2.7,2.5,13.4,13.8,,2.1,2.6,4.7,0.097,,-2,1.5,-0.5,0.9
20,Kenyon Martin Jr.,SF,21,HOU,78,1638,14.3,0.601,0.317,0.234,5.3,14.6,9.9,9.5,1,2.2,9.5,16.3,,2.3,0.6,2.9,0.084,,0,-1.1,-1.1,0.4
21,Duncan Robinson,SG,27,MIA,78,2022,10.5,0.574,0.858,0.085,1.3,9.5,5.5,9.2,1,0.7,7.5,17.7,,1.8,2,3.9,0.092,,-0.3,-0.3,-0.6,0.7
22,Russell Westbrook,PG,33,LAL,78,2678,15,0.512,0.215,0.324,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,,-0.6,2.3,1.7,0.03,,-0.7,-0.9,-1.6,0.2
23,Kentavious Caldwell-Pope,SG,28,WAS,77,2329,12.6,0.568,0.492,0.186,2,10.3,6.2,9.1,1.8,0.9,9.8,19,,1.4,1.4,2.8,0.059,,-0.9,-0.6,-1.5,0.3
24,Torrey Craig,SF,31,TOT,77,1570,11,0.56,0.524,0.121,5.8,15.6,10.7,7.4,1.4,1.9,12.7,14.2,,0.9,1.4,2.3,0.071,,-1.7,-0.1,-1.8,0.1
25,Immanuel Quickley,PG,22,NYK,77,1761,14.3,0.542,0.552,0.277,1.8,12.9,7.2,23.9,1.5,0.2,10.9,21.9,,2.3,1.7,4,0.109,,0,-0.1,0,0.9
26,Jae'Sean Tate,SF,26,HOU,77,2026,14.4,0.567,0.277,0.254,7.2,15.5,11.3,17,1.7,1.8,14.6,19.7,,1.9,1.1,3.1,0.073,,-1.3,-0.4,-1.7,0.2
27,Steven Adams,C,28,MEM,76,1999,17.6,0.56,0.003,0.518,17.9,22,19.9,16,1.6,2.7,19.6,12,,3.9,3,6.9,0.165,,1,1,2,2
28,Desmond Bane,SF,23,MEM,76,2266,17.6,0.592,0.475,0.141,2.1,13.6,7.7,13.5,1.9,1.1,8.7,23.2,,4.5,2.8,7.3,0.155,,2.5,0.3,2.8,2.7
29,Harrison Barnes,PF,29,SAC,76,2574,15.8,0.623,0.433,0.496,3.4,15,9.1,10.5,1,0.5,10.4,18.9,,5.1,1,6,0.112,,1.5,-1.4,0.1,1.4
30,DeMar DeRozan,PF,32,CHI,76,2743,23.1,0.59,0.093,0.386,2.3,13.7,8,23.3,1.2,0.8,9.2,31.8,,7,1.8,8.8,0.154,,3.4,-1,2.5,3.1
31,Ayo Dosunmu,SG,22,CHI,76,2065,11.1,0.596,0.348,0.137,1.4,10,5.7,16.4,1.4,1.2,15.6,13.9,,1.7,1.3,3,0.07,,-2,0,-2,0
32,Devonte' Graham,PG,26,NOP,76,2162,12.1,0.514,0.691,0.172,1.9,7.3,4.5,21,1.6,0.5,10.7,19.5,,1.6,1.3,2.8,0.063,,0.2,-1.2,-1,0.5
33,Tyrese Haliburton,SG-PG,21,TOT,76,2655,18.2,0.595,0.429,0.211,2.4,10.4,6.3,34,2.4,1.6,16.8,19,,5.1,1.8,6.9,0.124,,2.7,-0.1,2.6,3.1
34,Corey Kispert,SF,22,WAS,76,1775,10.7,0.58,0.622,0.124,3.4,9.4,6.4,6.7,1,1.1,8.6,14.5,,1.5,0.7,2.2,0.058,,-0.9,-1.5,-2.5,-0.2
35,Georges Niang,PF,28,PHI,76,1736,10.7,0.594,0.687,0.105,1.6,11.3,6.5,8.7,0.9,0.7,9.1,16.8,,1.5,1.3,2.8,0.077,,-0.8,-1.1,-1.9,0
36,Royce O'Neale,SF,28,UTA,76,2379,10.4,0.612,0.687,0.123,3,13.5,8.4,10.5,1.8,1.2,14.1,9.9,,2.8,2.6,5.4,0.11,,-0.8,1.6,0.9,1.7
37,Naz Reid,C,22,MIN,76,1194,17.2,0.586,0.348,0.32,8.8,18,13.3,8.9,1.6,5.6,13.1,21.4,,1.5,1.6,3.1,0.126,,-0.5,0.6,0.1,0.6
38,Grant Williams,PF,23,BOS,76,1855,11.3,0.638,0.598,0.214,3.8,11.9,7.9,5.7,1,2.8,11.6,12.5,,2.4,2.6,5,0.13,,-1.4,1.1,-0.3,0.8
39,Delon Wright,SG,29,ATL,76,1430,13.9,0.577,0.429,0.228,3.8,12.9,8.3,16.7,3.2,1.2,13.2,10.4,,2.1,1.4,3.6,0.12,,-0.2,2.4,2.2,1.5
40,Aaron Gordon,PF,26,DEN,75,2376,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.7,0.9,1.7,12.5,19.7,,3.2,2,5.3,0.106,,0.5,-1.1,-0.6,0.9
41,Reggie Jackson,SG,31,LAC,75,2337,12.1,0.488,0.419,0.133,1.8,10.2,6.1,24.7,1.2,0.5,11.8,27.6,,-1.7,2,0.3,0.006,,-1.4,-1.6,-3,-0.6
42,Malik Monk,SG,23,LAL,75,2103,14.2,0.592,0.534,0.139,1.8,11,6.4,15.3,1.4,1.2,12.3,19.8,,2.1,1.4,3.4,0.079,,0.3,-0.9,-0.6,0.7
43,Monte Morris,PG,26,DEN,75,2239,14.7,0.583,0.406,0.109,1.4,9.6,5.6,21.4,1.2,0.6,8.8,17.4,,3.9,1.6,5.5,0.118,,0.8,-0.8,0,1.1
44,Kelly Oubre Jr.,SF,26,CHO,75,1983,15,0.56,0.591,0.202,4.1,12,8,6.2,1.8,1.5,6.2,23.1,,1.8,1.4,3.2,0.078,,0.2,-1.6,-1.4,0.3
45,Jordan Poole,SG,22,GSW,75,2255,16.1,0.598,0.548,0.251,1.6,10.5,6.2,21,1.3,0.9,13.6,25.9,,3.1,2.8,5.9,0.126,,1.3,-0.3,1,1.7
46,Jayson Tatum,SF,23,BOS,75,2705,21.6,0.574,0.415,0.301,3.5,20.2,12,21.2,1.4,1.7,10.8,32.1,,4.8,4.5,9.4,0.166,,4.2,0.6,4.8,4.7
47,Trae Young,PG,23,ATL,75,2618,25.5,0.602,0.396,0.36,2.1,9.6,5.8,46.7,1.4,0.2,14.4,34.5,,8.9,0.9,9.8,0.18,,7.2,-1.9,5.2,4.8
48,Ivica Zubac,C,24,LAC,75,1829,19.1,0.661,0,0.468,12.7,23.7,18.3,9.8,1,3.5,16.2,16.8,,4.3,2.8,7,0.185,,-0.1,0.7,0.6,1.2
49,LaMelo Ball,PG,20,CHO,74,2393,19.7,0.552,0.451,0.195,4.6,17.3,10.9,35.6,2.4,1.2,15,28.1,,3.4,2.4,5.8,0.115,,3.2,0.2,3.4,3.2
50,Bryn Forbes,SG,28,TOT,74,1250,11.3,0.57,0.541,0.152,0.9,7,3.9,8.5,0.9,0.3,8.9,21.1,,0.7,0.6,1.3,0.051,,-0.8,-2.1,-2.9,-0.3
51,Jeff Green,C,35,DEN,74,1825,12.3,0.622,0.321,0.376,2.6,11.1,7,7.2,0.8,1.3,10.3,16.3,,2.5,1.3,3.8,0.1,,-1.3,-1.2,-2.5,-0.2
52,Keldon Johnson,SF,22,SAS,74,2358,15.1,0.574,0.396,0.229,3.5,16.6,10,9.4,1.1,0.5,7.8,21.2,,2.9,2,4.8,0.098,,0.7,-1.2,-0.5,0.9
53,Nikola Joki?,C,26,DEN,74,2476,32.9,0.661,0.22,0.357,9.6,35.5,23,42.7,2.2,2.3,15.6,31.9,,10.8,4.5,15.4,0.298,,9.2,4.5,13.7,9.8
54,Trey Lyles,PF,26,TOT,74,1518,16.6,0.59,0.377,0.437,6.1,21,13.3,9,0.9,1.9,9.6,20.6,,2.5,1.1,3.6,0.115,,0.7,-0.8,-0.2,0.7
55,Tyrese Maxey,PG,21,PHI,74,2627,16.1,0.593,0.311,0.244,1.1,8.9,5.1,19.1,1,1.1,7.3,20,,5.3,1.9,7.1,0.131,,1.2,-0.7,0.6,1.7
56,Davion Mitchell,PG,23,SAC,74,2036,10.6,0.488,0.381,0.093,1.7,7,4.4,21.9,1.3,0.9,11.6,20.6,,-0.6,0.6,0,0,,-2.2,-1.8,-4,-1
57,Karl-Anthony Towns,C,26,MIN,74,2476,24.2,0.64,0.301,0.385,8.2,23.6,15.7,18.1,1.4,3.2,13.7,27.8,,7.1,3.2,10.3,0.2,,4.5,0.5,5,4.4
58,Jonas Valan?i?nas,C,29,NOP,74,2240,21.2,0.617,0.168,0.308,11,31.1,20.8,14,0.9,2.6,14.4,23.9,,4.6,2.7,7.4,0.158,,2,-0.1,2,2.2
59,Derrick White,SG,27,TOT,74,2180,14.8,0.548,0.46,0.294,1.8,10.7,6.2,23,1.4,2.3,11.7,19.9,,2.8,2.3,5,0.111,,0.3,0.6,0.9,1.6
60,Scottie Barnes,PF,20,TOR,73,2596,16.4,0.552,0.206,0.232,7.7,15.9,11.6,14.5,1.5,2.1,11.6,19,,3.7,2.9,6.6,0.122,,0.6,0.3,0.9,1.9
61,Clint Capela,C,27,ATL,73,2018,21.1,0.602,0.002,0.278,14.8,31.9,23.4,6.7,1.3,4,6.2,15.4,,5.4,2.7,8.1,0.192,,2,-0.1,1.9,2
62,Josh Christopher,SG,20,HOU,73,1314,12.3,0.536,0.377,0.221,4.3,11.2,7.7,17.3,2.3,0.9,17.3,21.1,,-0.3,0.7,0.3,0.012,,-2.1,-1.3,-3.3,-0.4
63,Justin Holiday,SF-SG,32,TOT,73,2026,9.3,0.537,0.73,0.095,1.5,8.9,5.1,8.7,1.3,1.4,9.2,15.8,,0.6,0.6,1.3,0.03,,-1.5,-0.9,-2.4,-0.2
64,Kevin Huerter,SG,23,ATL,73,2158,11.9,0.568,0.539,0.069,1.6,10.9,6.3,13,1.3,1.1,10.4,17.5,,1.8,1,2.7,0.061,,-0.5,-0.7,-1.3,0.4
65,Tyus Jones,PG,25,MEM,73,1549,16.5,0.544,0.371,0.12,1.1,11,6,28.2,2,0.1,7.3,16.6,,3.5,1.7,5.2,0.16,,1.2,0.5,1.7,1.4
66,Kevin Love,PF,33,CLE,73,1650,19,0.588,0.626,0.258,5.8,29,17.6,15.2,0.8,1,10.6,24.9,,2.9,2.4,5.4,0.156,,3.9,0.1,4,2.5
67,JaVale McGee,C,34,PHO,73,1149,22.6,0.654,0.02,0.316,15,29.6,22.5,5.4,0.9,6.2,15.8,22.8,,2.3,2.5,4.9,0.203,,0,1,1,0.9
68,Jarred Vanderbilt,PF,22,MIN,73,1866,15.5,0.614,0.036,0.365,12,23.9,17.8,6.7,2.5,2.4,14.6,10.9,,3.2,2.9,6.1,0.156,,-0.7,1,0.4,1.1
69,Nikola Vu?evi?,C,31,CHI,73,2418,18.2,0.533,0.287,0.105,6.6,30.6,18.7,15.2,1.4,2.5,10.1,24.5,,1.4,3.2,4.5,0.089,,0.8,0,0.9,1.8
70,Andrew Wiggins,SF,26,GSW,73,2329,15,0.56,0.392,0.231,4.1,10.9,7.6,10.9,1.6,2.1,9,23.1,,1.8,3.3,5.1,0.105,,0.3,0.1,0.4,1.4
71,Precious Achiuwa,C,22,TOR,72,1698,12.8,0.506,0.256,0.222,8.7,21.8,14.9,6.9,1.1,2.3,11.4,18.4,,0.5,2,2.5,0.072,,-1.9,-0.6,-2.5,-0.2
72,Andre Drummond,C,28,TOT,72,1417,20.6,0.565,0.007,0.382,17.9,33.9,26,13.9,2.7,4.2,18.7,19,,1.8,3,4.9,0.164,,-0.3,1.4,1.1,1.1
73,Tobias Harris,PF,29,PHI,72,2519,16.1,0.568,0.272,0.2,3.4,18.1,10.9,15.8,0.9,1.5,9.4,21.7,,3.1,2.5,5.6,0.107,,0.7,-0.6,0.1,1.3
74,De'Anthony Melton,SG,23,MEM,72,1633,15.2,0.53,0.532,0.17,4,17.2,10.4,15.8,3,2.1,13.2,21.2,,0.9,2.8,3.7,0.108,,0.3,1.6,1.9,1.6
75,Mason Plumlee,C,31,CHO,72,1771,14.7,0.604,0.006,0.538,10.3,23.3,16.7,16.5,1.7,2.7,20.1,11.7,,2.7,2,4.7,0.127,,-1.5,1.5,0.1,0.9
76,Bobby Portis,C,26,MIL,72,2028,17.8,0.571,0.388,0.13,9.6,24.4,17.2,6.4,1.3,2.4,8.9,21.3,,2.9,2.7,5.6,0.133,,1.2,-1,0.2,1.1
77,Julius Randle,PF,27,NYK,72,2544,15.8,0.509,0.313,0.322,5.2,25.5,15.1,25.1,1,1.5,14.7,28.7,,-0.2,3.3,3.1,0.059,,0.4,0.1,0.5,1.6
